"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"d:\synthia\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"d:\synthia\app.py", "Python", 109, 0, 0, 32, 26, 167
"d:\synthia\baseline_curvefit.py", "Python", 58, 0, 0, 19, 18, 95
"d:\synthia\benchmarks\benchmark_inverse.json", "JSON", 0, 0, 53, 0, 0, 53
"d:\synthia\benchmarks\benchmark_inverse_one_seed.json", "JSON", 0, 0, 53, 0, 0, 53
"d:\synthia\benchmarks\benchmark_phase1.json", "JSON", 0, 0, 25, 0, 0, 25
"d:\synthia\docs\results.md", "Markdown", 0, 5, 0, 0, 0, 5
"d:\synthia\firstMLP.py", "Python", 23, 0, 0, 27, 19, 69
"d:\synthia\generate_uncertainty.py", "Python", 49, 0, 0, 28, 19, 96
"d:\synthia\inverse_pinn.py", "Python", 129, 0, 0, 38, 47, 214
"d:\synthia\pinn.py", "Python", 106, 0, 0, 49, 46, 201
"d:\synthia\solvers\heat_fd.py", "Python", 35, 0, 0, 15, 20, 70
"d:\synthia\validate.py", "Python", 76, 0, 0, 26, 41, 143
"Total", "-", 585, 7, 131, 234, 237, 1194
